metro_2006_07,metro_2007_08,metro_2008_09,metro_2009_10,metro_2010_11,metro_2011_12,metro_2012_13,metro_2013_14,metro_2014_15,metro_2015_16,metro_2016_17,metro_2017_18,metro_arts_abc_1988_89,metro_arts_abc_1989_90,metro_arts_abc_1990_91,metro_arts_abc_1991_92,metro_arts_abc_1992_93,metro_arts_abc_1993_94,metro_arts_abc_1994_95,metro_arts_abc_1995_96,metro_arts_abc_1996_97,metro_arts_abc_1997_98,metro_arts_abc_1998_99,metro_arts_abc_1999_00,metro_arts_abc_2000_01,metro_arts_abc_2001_02,metro_arts_abc_2002_03,metro_arts_abc_2003_04,metro_arts_abc_2004_05,metro_arts_abc_2005_06,organization,thrive_2014_15,thrive_2015_16,thrive_2016_17,thrive_2017_18,totals
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luthern Services in Tennessee,2500,0,0,0,2500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Madison Bluegrass Festival,1400,0,0,0,1400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mapping McGruder,4000,0,0,0,4000
0,0,0,0,0,0,0,0,4000,2610,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,Martha O'Bryan Center,0,0,0,0,21610
0,16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metro Education Access Corporation (MEAC),0,0,0,0,16667
0,0,0,0,3500,3300,4075,4400,0,4814,6065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metro Nashville Chorus,0,0,0,0,26154
0,2668,3476,4500,4000,4200,4550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle Tennessee Mental Health & Substance Abuse Coalition (program became indepent nonprofit Healing Arts Project, Inc.)",0,0,0,0,23394
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,16124,15945,36505,40322,38000,0,0,Mockingbird Public Theatre,0,0,0,0,162896
0,0,0,0,0,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monroe Harding,0,0,0,0,3800
0,0,0,0,0,0,0,0,0,3827,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moves & Grooves,0,0,0,0,15827
